name,address,latlng,count,detailsUrl,Visited,Next to school,Ground cover,Fenced,Hours,Special Features,Fountain,Toilet,Benches,Picnic Tables,Dog Area,Park,Community Centre,Wading Pool,Splash Pad,Water Course,Basketball Court,Ball Hockey,Cricket Pitch,Baseball Field,Football Field,Field Hockey,Field House,Tennis Court,Ultimate Field,Soccer Field,Skateboard Park,Baby Swing,Chin Up Bar,Climbing Boulder,Climbing Ladder,Climbing Ropes,Climbing Wall,Fire Pole,Hand Games,Merry-go-round,Monkey Bars,Playhouse,Sandbox,Seesaw/Teetertotter,Slide,Spinner,Spring Rider,Swing,Talking Tubes,Tire Swing,Toddler Structure,Toddler Swing,Trapeze Ring,Tunnel,Tunnel Slide,Wobbly Bridge,Zipline
Aberdeen Park,"3525 Foster Avenue, Vancouver BC","49.2346455,-123.0273683",1,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=234,No,,Rubber,,,Yes - accessible picnic tables,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,2,,,,,2,,,,1,,,,4,,,,,,,,,,,,
Almond Park,"3600 W 12th Avenue, Vancouver BC","49.2616515,-123.1858475",1,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=106,No,,,,,,,,Yes,,,Yes,,,,,,,,,,,,2,,,,,,,1,,,1,,,,,,,3,,,2,,,Yes,,,1,,,
Andy Livingstone Park,"89 Expo Boulevard, Vancouver BC","49.2788226,-123.1057978",3,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=10,No,,Rubber,Yes,,,,Yes,,,,Yes,,,,,1,,,1,1,2,1,2,2,2,1,,,,,,,,,,,,,,2,,,,,,,,,,,,
Arbutus Village Park,"4202 Valley Drive, Vancouver BC",,1,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=1,No,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,1,1,Yes,,,,,,,,
Ash Park,"8288 Ash Street, Vancouver BC",,1,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=122,No,Yes,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,Yes,,1,,
Sir Wilfrid Laurier Annex,"590 65 Ave W, Vancouver BC",,,,No,,Wood chips,,After 3:30pm?,,,,,,,Yes,,,,,1,,,1,,,,,,1,,,,,1,,1,1,,,1,,,,3,,,,Yes,,,,,,,,
Balaclava Park,"4594 Balaclava Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconsfield Park,"3215 Slocan Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobolink Park,"2510 Hoylake Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewers Park,"4175 Victoria Drive, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrard View Park,"650 North Penticton Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callister Park,"2875 Oxford Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cariboo Park,"3450 E 29th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton Park,"3450 Price Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnarvon Park,"2995 W 19th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartier Park,"390 E 36th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Cottage Park,"2650 Clark Drive, Vancouver BC",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaldecott Park,"4175 Wallace Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champlain Heights Park,"3351 Maquinna Drive, Vancouver BC",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleson Park (West),"999 Charleson Street, Vancouver BC",,2,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=43,Yes,Yes,Sandy gravel,,,Tree house,,,Yes,,,Yes,,,,,1,,,,,,,5,,,,2,1,,,,,1,,,1,Yes,Yes,,1,,1,6,,1,,,,,1,,
Charleson Park (East),"999 Charleson Street, Vancouver BC",,,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=43,Yes,,Wood chips,,,,,,,,Yes,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,1,1,,,,,,,,Yes,,,1,
China Creek North Park,"1001 E 7th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choklit Park,"2400 Spruce Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark Park,"1500 E 14th Avenue, Vancouver BC",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton Park,"2690 Grant Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collingwood Park,"5275 McKinnon Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Park,"5908 Alberta Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connaught Park,"2390 W 10th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coopers' Park,"1020 Marinaside Crescent, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAB Park at Portside,"101 E Waterfront Road, Vancouver BC",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creekside Park,"1455 Quebec Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Lam Park,"1300 Pacific Boulevard, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delamont Park,"2091 W 7th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas Park,"801 W 22nd Avenue, Vancouver BC",,2,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=175,Yes,,Sandy gravel,,,,Yes,Yes at CC,Yes,,,Yes,Yes,Yes,,,1,,1,4,,,,,,3,,4,,1,1,1,,,Yes,,Yes,,Yes,,6,,2,6,,2,Yes,3,,1,2,Yes,Yes
Earles Park,"2801 E 41st Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebisu Park,"8810 Olser Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
